ListA (sorted),ListB (sorted),Distance
10066,10232,166
10149,10468,319
10186,10468,282
10193,10468,275
10468,10468,0
10479,10468,11
10730,10468,262
10741,10468,273
10780,10468,312
10872,10468,404
10875,10468,407
10930,10468,462
11022,10648,374
11086,10654,432
11246,10723,523
11287,11167,120
11310,11294,16
11333,11640,307
11597,11734,137
11777,11889,112
11792,12467,675
11840,12643,803
11979,12770,791
12158,13041,883
12181,13090,909
12195,13271,1076
12228,13305,1077
12421,13367,946
12550,13430,880
12562,13436,874
12710,13454,744
12809,13587,778
12823,13692,869
13086,13692,606
13147,13898,751
13148,14090,942
13164,14259,1095
13253,14555,1302
13342,14656,1314
13423,14656,1233
13498,14656,1158
13590,14656,1066
13672,14656,984
13692,14656,964
14002,14656,654
14017,14925,908
14047,15216,1169
14231,15242,1011
14381,15732,1351
14450,16201,1751
14541,16250,1709
14572,16313,1741
14652,16480,1828
14656,16758,2102
14709,16770,2061
14963,16770,1807
15461,16770,1309
15588,16770,1182
15632,16770,1138
15719,16770,1051
15750,16770,1020
15863,16770,907
15881,16770,889
15882,16770,888
15913,16770,857
15974,16770,796
16352,16770,418
16406,16770,364
16563,16770,207
16770,16770,0
16790,16770,20
16845,16770,75
16955,17347,392
17039,17423,384
17145,17617,472
17210,17623,413
17338,17637,299
17365,17932,567
17516,18079,563
17558,18139,581
17846,18415,569
17944,18763,819
17956,18816,860
18172,19018,846
18237,19236,999
18252,19398,1146
18337,19406,1069
18402,19432,1030
18422,19553,1131
18549,19586,1037
18561,19586,1025
18606,19586,980
18631,19586,955
18665,19586,921
18734,19586,852
18747,19586,839
18782,19586,804
18962,19586,624
18973,19586,613
18994,19586,592
19023,19586,563
19078,19586,508
19101,19586,485
19220,19594,374
19229,19742,513
19543,19770,227
19554,19897,343
19586,19898,312
19621,19909,288
19624,19912,288
19692,20187,495
19832,20187,355
19865,20187,322
20079,20187,108
20138,20187,49
20187,20187,0
20217,20187,30
20290,20187,103
20382,20187,195
20570,20187,383
20620,20187,433
20687,20187,500
20941,20187,754
20986,20187,799
21085,20187,898
21112,20430,682
21121,20442,679
21233,20450,783
21353,20551,802
21358,21498,140
21443,22314,871
21520,22488,968
21537,22488,951
21603,22488,885
21755,22488,733
21891,22597,706
22012,22642,630
22237,23011,774
22242,23040,798
22366,23131,765
22418,23192,774
22419,23208,789
22455,23254,799
22488,23335,847
22495,23412,917
22680,23509,829
22732,23658,926
22768,23752,984
22929,24024,1095
22983,24195,1212
23038,24551,1513
23056,24598,1542
23059,24937,1878
23150,25016,1866
23250,25419,2169
23358,25431,2073
23390,25646,2256
23409,26033,2624
23430,26340,2910
23505,26479,2974
23603,26612,3009
23703,26965,3262
23939,27006,3067
24014,27070,3056
24100,27070,2970
24290,27070,2780
24485,27070,2585
24641,27070,2429
24797,27070,2273
24862,27070,2208
24898,27070,2172
25031,27070,2039
25165,27070,1905
25352,27070,1718
25358,27070,1712
25584,27070,1486
25681,27070,1389
25732,27070,1338
25739,27070,1331
25817,27070,1253
25905,27070,1165
26091,27070,979
26226,27070,844
26249,27150,901
26417,27177,760
26419,27196,777
26467,27501,1034
26500,27736,1236
27070,27850,780
27128,27874,746
27166,27950,784
27380,28091,711
27476,28146,670
27533,28165,632
27584,28284,700
27706,28702,996
27744,28719,975
27746,28798,1052
27765,29173,1408
27877,29173,1296
28054,29173,1119
28181,29173,992
28183,29173,990
28220,29173,953
28706,29173,467
28959,29173,214
29173,29173,0
29211,29173,38
29372,29173,199
29392,29173,219
29419,29173,246
29704,29173,531
29736,29173,563
29788,29173,615
29886,29173,713
30095,29173,922
30184,29212,972
30218,29981,237
30226,30289,63
30446,30302,144
30527,30348,179
30553,30714,161
30896,30896,0
30911,30896,15
31257,30896,361
31310,30896,414
31604,30896,708
31875,30896,979
31951,30896,1055
31968,30896,1072
32244,30896,1348
32644,30896,1748
32727,30896,1831
32764,30919,1845
32823,30991,1832
32843,31064,1779
33011,31090,1921
33040,31091,1949
33107,31121,1986
33210,31191,2019
33277,31261,2016
33370,31390,1980
33445,31518,1927
33546,31634,1912
33552,31728,1824
33576,31755,1821
33848,31760,2088
33958,31808,2150
34231,32158,2073
34283,32348,1935
34408,32469,1939
34436,32642,1794
34505,32643,1862
34516,32678,1838
34555,32771,1784
34577,33049,1528
34636,33109,1527
34661,33147,1514
34755,33168,1587
34774,33277,1497
34804,33277,1527
34822,33277,1545
34837,33277,1560
35021,33277,1744
35057,33277,1780
35108,33277,1831
35131,33277,1854
35170,33277,1893
35181,33277,1904
35258,33277,1981
35342,33277,2065
35361,33277,2084
35374,33277,2097
35583,33363,2220
35618,33630,1988
35671,34404,1267
35791,34453,1338
35793,34468,1325
35811,34498,1313
35913,34526,1387
35963,34705,1258
36053,34779,1274
36082,35005,1077
36238,35037,1201
36309,35041,1268
36349,35246,1103
36484,35253,1231
36523,35305,1218
36590,35338,1252
36638,35357,1281
36681,35447,1234
36722,35481,1241
36896,35541,1355
37042,35592,1450
37090,35599,1491
37093,35706,1387
37119,35936,1183
37339,35985,1354
37447,36335,1112
37495,36454,1041
37553,36795,758
37585,36929,656
37597,36931,666
37614,37042,572
37624,37042,582
37699,37042,657
37756,37042,714
37843,37042,801
37954,37042,912
38150,37042,1108
38159,37042,1117
38276,37042,1234
38321,37042,1279
38432,37042,1390
38685,37042,1643
38754,37042,1712
38798,37520,1278
38864,38193,671
38898,38561,337
38913,38731,182
38935,38777,158
38939,38881,58
39103,39000,103
39320,39235,85
39443,39465,22
39543,39600,57
39681,39762,81
39913,39913,0
40036,39913,123
40042,39913,129
40107,39913,194
40251,39913,338
40614,39913,701
40755,39913,842
40799,39913,886
40819,39913,906
40826,39913,913
40906,39957,949
